"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,10,50,0.997394871794872,0.995615384615385,0.998974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,10,12,50,0.997282051282051,0.994358974358974,0.998974358974359
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,2,50,0.998030769230769,0.996923076923077,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,4,50,0.997866666666667,0.996128205128205,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,6,50,0.997928205128205,0.996410256410256,0.99925641025641
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,8,50,0.998051282051282,0.996410256410256,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,10,50,0.997917948717949,0.995615384615385,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,100,0.1,12,12,50,0.998164102564103,0.996128205128205,0.999487179487179
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,2,50,0.989846153846154,0.985871794871795,0.993333333333333
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,4,50,0.990328205128205,0.985871794871795,0.994358974358974
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,6,50,0.99011282051282,0.986666666666667,0.993615384615385
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,8,50,0.990020512820513,0.986666666666667,0.992589743589744
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,10,50,0.990758974358974,0.986666666666667,0.994641025641026
"XGBoost","accuracy.all","oversample",,3,100,0.25,2,12,50,0.990061538461538,0.986102564102564,0.994128205128205
"XGBoost","accuracy.all","oversample",,3,100,0.25,4,2,50,0.996379487179487,0.994589743589744,0.998461538461539
"XGBoost","accuracy.all","oversample",,3,100,0.25,4,4,50,0.996205128205128,0.994358974358974,0.998230769230769
"XGBoost","accuracy.all","oversample",,3,100,0.25,4,6,50,0.996410256410256,0.994589743589744,0.998461538461539
