"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,4,50,0.872635897435897,0.858769230769231,0.883923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,6,50,0.871558974358974,0.858589743589744,0.885128205128205
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,8,50,0.873405128205128,0.857102564102564,0.884897435897436
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,10,50,0.873835897435897,0.859897435897436,0.885128205128205
"XGBoost","accuracy.all","undersample",1000,,50,0.95,2,12,50,0.871610256410256,0.858692307692308,0.887564102564103
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,2,50,0.885528205128205,0.87225641025641,0.895948717948718
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,4,50,0.886082051282051,0.87174358974359,0.899589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,6,50,0.887292307692308,0.875102564102564,0.898461538461538
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,8,50,0.886789743589744,0.873282051282051,0.897307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,10,50,0.88734358974359,0.874769230769231,0.898230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.95,4,12,50,0.886287179487179,0.872820512820513,0.902102564102564
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,2,50,0.891569230769231,0.878076923076923,0.903589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,4,50,0.888235897435897,0.875102564102564,0.901589743589744
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,6,50,0.890215384615385,0.88125641025641,0.899769230769231
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,8,50,0.890235897435897,0.876923076923077,0.901307692307692
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,10,50,0.889671794871795,0.879564102564103,0.898461538461538
"XGBoost","accuracy.all","undersample",1000,,50,0.95,6,12,50,0.890379487179487,0.878128205128205,0.901538461538462
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,2,50,0.893282051282051,0.884333333333333,0.901025641025641
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,4,50,0.891753846153846,0.879153846153846,0.902846153846154
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,6,50,0.890379487179487,0.879102564102564,0.901410256410256
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,8,50,0.890061538461538,0.874076923076923,0.904102564102564
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,10,50,0.892974358974359,0.875102564102564,0.911564102564103
"XGBoost","accuracy.all","undersample",1000,,50,0.95,8,12,50,0.889969230769231,0.879205128205128,0.901076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,2,50,0.891292307692308,0.881769230769231,0.903230769230769
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,4,50,0.893251282051282,0.879384615384615,0.907
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,6,50,0.892102564102564,0.879615384615385,0.902384615384615
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,8,50,0.892964102564103,0.880820512820513,0.903923076923077
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,10,50,0.89134358974359,0.88074358974359,0.903358974358974
"XGBoost","accuracy.all","undersample",1000,,50,0.95,10,12,50,0.89265641025641,0.882,0.904666666666667
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,2,50,0.891558974358974,0.883076923076923,0.903076923076923
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,4,50,0.8924,0.875923076923077,0.907051282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,6,50,0.893292307692308,0.883538461538461,0.903871794871795
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,8,50,0.891938461538462,0.876641025641026,0.903641025641026
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,10,50,0.893517948717949,0.880230769230769,0.90751282051282
"XGBoost","accuracy.all","undersample",1000,,50,0.95,12,12,50,0.892820512820513,0.879948717948718,0.904435897435897
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,2,50,0.869846153846154,0.857666666666667,0.882897435897436
